Model,Prediction,Reference_Interrupted,Reference_Intermediate,Reference_Prolonged,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy
Tree,Interrupted,1473,106,0,0.900090991810737,0.843997934213908,0.891857418637967,0.907896830385991,0.446405823475887,0,,0.846551724137931,0.971770972037284,0.932868904369854,0.931818181818182,0.932868904369854,0.846551724137931,0.887616752033745,0.316651501364877,0.268061874431301,0.287352138307552,0.909161348087607
Tree,Intermediate,267,2260,89,0.900090991810737,0.843997934213908,0.891857418637967,0.907896830385991,0.446405823475887,0,,0.921320831634733,0.882971729125575,0.863914373088685,0.932962834317471,0.863914373088685,0.921320831634733,0.891694614322352,0.446405823475887,0.411282984531392,0.47606915377616,0.902146280380154
Tree,Prolonged,0,87,1213,0.900090991810737,0.843997934213908,0.891857418637967,0.907896830385991,0.446405823475887,0,,0.931643625192012,0.979251132840448,0.933076923076923,0.978784266984505,0.933076923076923,0.931643625192012,0.932359723289777,0.236942675159236,0.220746132848044,0.236578707916288,0.95544737901623
Forest,Interrupted,1605,109,0,0.933939945404914,0.897295066279859,0.927048014624326,0.940366532622673,0.446405823475887,0,,0.922413793103448,0.970972037283622,0.936406067677946,0.964295160010579,0.936406067677946,0.922413793103448,0.929357266936885,0.316651501364877,0.292083712465878,0.311919927206551,0.946692915193535
Forest,Intermediate,135,2291,66,0.933939945404914,0.897295066279859,0.927048014624326,0.940366532622673,0.446405823475887,0,,0.933958418263351,0.933925049309665,0.919341894060995,0.946053946053946,0.919341894060995,0.933958418263351,0.926592517694641,0.446405823475887,0.416924476797088,0.453503184713376,0.933941733786508
Forest,Prolonged,0,53,1236,0.933939945404914,0.897295066279859,0.927048014624326,0.940366532622673,0.446405823475887,0,,0.949308755760369,0.987359885523492,0.958882854926299,0.984308131241084,0.958882854926299,0.949308755760369,0.954071786954844,0.236942675159236,0.224931756141947,0.234576888080073,0.96833432064193
