Model,Prediction,Reference_Interrupted,Reference_Intermediate,Reference_Prolonged,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy
Tree,Interrupted,1169,202,0,0.890498588899342,0.830390848991583,0.881794101060216,0.898771613050766,0.447977422389464,0,,0.852040816326531,0.94876997210246,0.852662290299052,0.948529411764706,0.852662290299052,0.852040816326531,0.852351440029165,0.258137347130762,0.219943555973659,0.257949200376294,0.900405394214495
Tree,Intermediate,203,2102,100,0.890498588899342,0.830390848991583,0.881794101060216,0.898771613050766,0.447977422389464,0,,0.882822343553129,0.896728016359918,0.874012474012474,0.904123711340206,0.874012474012474,0.882822343553129,0.878395319682407,0.447977422389464,0.395484477892756,0.452492944496707,0.889775179956524
Tree,Prolonged,0,77,1462,0.890498588899342,0.830390848991583,0.881794101060216,0.898771613050766,0.447977422389464,0,,0.935979513444302,0.979483080202505,0.94996751137102,0.973516949152542,0.94996751137102,0.935979513444302,0.942921638181232,0.293885230479774,0.275070555032926,0.289557855126999,0.957731296823403
Forest,Interrupted,1159,179,0,0.909125117591721,0.859022492907178,0.901077296492833,0.916720329910584,0.447977422389464,0,,0.844752186588921,0.954603094090794,0.866218236173393,0.946442041740005,0.866218236173393,0.844752186588921,0.855350553505535,0.258137347130762,0.218062088428975,0.251740357478834,0.899677640339858
Forest,Intermediate,213,2165,54,0.909125117591721,0.859022492907178,0.901077296492833,0.916720329910584,0.447977422389464,0,,0.909281814363713,0.908997955010225,0.890213815789474,0.925078043704475,0.890213815789474,0.909281814363713,0.899646789943902,0.447977422389464,0.407337723424271,0.457572906867357,0.909139884686969
Forest,Prolonged,0,37,1508,0.909125117591721,0.859022492907178,0.901077296492833,0.916720329910584,0.447977422389464,0,,0.965428937259923,0.990141220357048,0.976051779935275,0.985676392572944,0.976051779935275,0.965428937259923,0.97071129707113,0.293885230479774,0.283725305738476,0.29068673565381,0.977785078808486
